ID,INDEX
1,0.0345
10,0.0352
100,0.0739
101,0.2009
102,0.002
103,0.0019
104,0.0799
105,0.1364
106,0.0013
107,0.0013
108,0.0612
109,0.0086
11,0.0089
110,0.0722
111,0.0015
112,0.0005
113,0.0015
115,0.0015
116,0.0018
117,0.0004
118,0.0336
119,0.0301
12,0.0319
120,0.0736
121,0.0698
124,0.9142
125,0.9143
129,0.0002
13,0.2423
130,0.2446
131,0.2446
133,0.2541
136,0.2656
137,0.0002
138,0.0002
139,0.0008
14,0.0013
140,0.1248
141,0.0276
142,0.0337
143,0.6726
144,0.6744
145,0.9602
146,0.9602
147,1.4343
148,1.4407
149,1.4452
15,1.447
150,0.0026
151,0.0005
152,0.2592
154,0.1572
155,0.0323
16,1.2354
160,1.2357
161,0.0015
162,0.0036
163,0.0098
164,0.039
165,1.6099
166,0.0032
167,0.0162
168,0.0543
169,0.0013
17,0.0021
170,0.0225
171,0.0007
172,0.0007
173,0.0052
174,0.0052
175,0.0038
176,0.13
177,0.0018
178,0.0018
179,0.001
18,0.0115
180,0.0115
181,0.0012
182,0.0224
183,0.0276
184,0.0006
185,0.0362
186,0.0036
187,0.0003
19,0.0153
190,0.9595
191,0.9926
192,0.0002
194,0.0001
195,0.0051
198,0.0054
2,0.0472
20,0.0003
205,0.0003
207,0.0009
208,0.0006
21,0.0119
22,0.0206
222,0.0028
223,0.0074
225,0.0074
227,0.0074
23,0.0033
230,0.5329
231,1.8458
232,1.8458
233,1.8458
234,0.0614
235,0.0614
236,0.0614
239,0.0074
24,0.052
240,0.0022
241,0.0111
242,0.0111
243,0.0111
244,0.0001
245,0.0001
248,0.0001
25,0.001
250,0.001
253,0.001
256,0.001
257,0.001
259,0.001
26,0.1888
260,0.1888
261,0.1888
262,0.1888
263,0.1888
264,0.0009
265,0.0022
266,0.0023
267,0.0023
268,0.1312
269,0.1043
27,0.1098
270,0.0001
271,0.0008
272,0.0008
273,0.0008
274,0.0012
275,0.0007
276,1.0793
277,0.0228
278,0.0377
279,0.3353
28,0.7822
280,0.7829
283,0.0077
284,0.0077
285,0.0165
286,0.0165
287,0.0001
288,0.0001
289,0.0502
29,0.1747
292,0.1747
293,0.1747
294,0.1747
295,0.1747
296,0.1747
297,0.1747
298,0.1747
299,0.1747
3,0.1755
30,0.1768
300,0.19
301,0.0018
302,0.0086
303,0.007
304,0.1221
305,0.4842
306,0.3001
307,0.3001
31,0.3026
310,0.3026
312,0.3026
316,0.0004
319,0.0004
32,0.0014
320,0.0014
321,0.0014
323,0.0014
324,0.0014
325,0.0014
327,0.0014
328,0.0014
329,0.0017
33,0.0033
330,0.0068
331,0.0068
332,0.0069
333,0.0029
338,0.0029
339,0.0008
34,0.0181
340,0.0262
341,0.043
35,0.0056
36,0.0091
37,0.0369
38,0.4118
39,0.4611
4,0.4617
40,0.5115
41,0.5167
42,0.1089
43,0.1092
44,0.1106
45,0.1106
46,0.0105
47,0.0239
48,0.2972
49,0.0026
5,0.0025
50,0.0983
51,0.099
52,0.1824
53,0.1824
54,0.2099
55,0.2282
56,0.0539
57,0.0009
58,0.0005
59,0.002
6,0.0027
60,0.0544
61,0.0692
62,0.0587
63,0.0636
64,0.066
65,0.1289
66,0.0013
67,0.3736
68,0.3741
69,0.446
7,0.451
70,0.801
71,0.0007
72,0.1482
73,0.1482
74,0.1482
75,0.0001
76,0.0001
78,0.0001
79,0.0001
8,0.0009
80,0.0009
81,0.0009
82,0.0009
83,0.0017
85,0.0019
86,0.5817
87,0.0013
88,0.0006
89,0.0037
9,0.0042
90,0.0055
91,0.0077
92,0.0078
93,0.0079
94,0.1061
95,0.1077
96,0.0029
97,0.0037
98,0.0003
99,0.0003
