time,yellow,green,uber,citibike
0000,101068,18952,2459,1947
0030,95936,17960,2220,1603
0100,90586,17036,1900,1275
0130,82782,15709,1552,992
0200,76310,14492,1447,865
0230,65704,12124,1538,647
0300,56586,10338,1155,557
0330,50122,9343,992,443
0400,42038,8726,862,388
0430,27414,6774,615,266
0500,18774,4821,457,212
0530,15682,3471,397,235
0600,16790,2852,378,349
0630,20882,2928,410,696
0700,23359,2966,406,884
0730,29989,3658,436,1400
0800,32706,3808,254,1773
0830,42430,4953,332,2795
0900,46930,5459,389,3535
0930,59296,6690,435,4456
1000,63214,7016,527,4896
1030,71527,8074,601,5849
1100,71833,8226,610,6607
1130,79421,9307,700,7372
1200,79185,9281,149,7206
1230,83431,9825,0,7742
1300,81066,9699,0,8283
1330,80720,10200,0,8577
1400,79697,10935,0,8842
1430,80690,11965,0,8695
1500,79497,12406,0,8511
1530,76798,13210,0,8882
1600,73617,13453,640,8531
1630,70635,14066,952,8313
1700,76064,14296,1032,8240
1730,82857,14422,916,7913
1800,87423,15419,917,7271
1830,87780,15565,985,6955
1900,90283,15276,1076,6496
1930,86079,15248,842,5890
2000,77984,13451,0,5194
2030,76548,12817,1034,4323
2100,82368,14231,185,3457
2130,84066,14754,1165,2872
2200,86639,14956,1066,2656
2230,85383,15190,1280,2165
2300,86285,15795,1182,1969
2330,79877,15506,,1828
